,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
343,Lunapark 2,Toruń,OPEN THE DOOR,60,Przygodowy,śr. zaawansowani,11 ,345,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,8.2,10.0,8.8,Średni,2,6
344,Schron bankowy,Wrocław,Piwnica Quest,60,Kryminalny,początkujący,242 ,346,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,7.3,9.2,7.8,Średni,2,5
345,Eksperyment,Radomsko,Zagadkowo,60,Przygodowy,śr. zaawansowani,18 ,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,10.0,8.1,Trudny,2,5
346,Opuszczony Teatr Lalek,Wrocław,Secret Room & Brain Code,60,Thriller,początkujący,237 ,348,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,6.6,8.7,9.0,Trudny,2,5
347,Reaktor,Łódź,Tkalnia Zagadek,60,Thriller,doświadczony,54 ,349,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7.5,9.8,8.5,Trudny,2,5
348,Baza Agenta SB,Żory,Open The Lock,60,Fabularny,początkujący,24 ,350,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,7.8,8.4,8.1,Trudny,2,5
349,Halloween,Nowy Sącz,The Locked Room,60,Horror,doświadczony,24 ,351,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,8.4,9.8,8.1,Średni,2,4
350,Czarnobyl - reaktor nr 4,Poznań,Malta Escape Room,60,Przygodowy,śr. zaawansowani,21 ,352,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,7.9,8.9,8.7,Średni,2,4
351,Cube,Krynica,Escape Room Krynica,60,Abstrakcyjny,początkujący,16 ,353,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,7.5,9.8,9.1,Średni,2,6
352,Tupolew,Kraków,ExitRoom ™,60,Akcja,śr. zaawansowani,36 ,354,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,7.3,8.6,9.3,Średni,2,4
353,Anatomia Zbrodni 2,Kraków,Gamescape Kraków,65,Thriller,śr. zaawansowani,32 ,358,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,7.1,7.8,8.0,Trudny,2,7
354,Prison Break,Kraków,ExitRoom ™,60,Fabularny,doświadczony,43 ,355,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,7.3,8.3,7.7,Średni,2,5
355,Zmieniając rzeczywistość,Warszawa,Zagadkownia,60,Abstrakcyjny,początkujący,222 ,356,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,6.7,8.8,6.5,Średni,2,6
356,Zbrodnia,Łódź,Tkalnia Zagadek,60,Kryminalny,początkujący,59 ,357,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7.7,9.8,8.2,Średni,2,5
357,Seksmisja,Kraków,ExitRoom ™,60,Przygodowy,śr. zaawansowani,29 ,359,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,6.9,9.1,7.1,Średni,2,5
358,Sekretny gabinet Al'a Capone,Kraków,SCARY HOSTEL KRAKÓW,60,Kryminalny,śr. zaawansowani,112 ,360,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,7.6,9.2,8.5,Średni,2,5
