,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy
0,Cicha Noc,Gliwice,TickTack,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,85 opinii,Polska: 1. miejsce,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,10,10,10,Średni
1,Powstanie Warszawskie,Warszawa,Black Cat Escape Room,2-8 osób,80 minut,Historyczny,śr. zaawansowani,258 opinii,Polska: 2. miejsce,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,9.8,9.8,10,Trudny
2,Lokalizacja,Gliwice,TickTack,2-5 osób,75 minut,Fabularny,doświadczony,271 opinii,Polska: 3. miejsce,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,10,10,10,Trudny
3,Opuszczony Hotel,Wrocław,Exit19.pl,2-5 osób,101 minut,Thriller,śr. zaawansowani,57 opinii,Polska: 4. miejsce,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,9.9,9.9,10,Średni
4,Rastamobil,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,98 opinii,Polska: 5. miejsce,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,9.9,10,10,Średni
5,Krasnoludy,Poznań,Escapelandia,2-4 osoby,75 minut,Przygodowy,śr. zaawansowani,91 opinii,Polska: 6. miejsce,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,9.9,10,10,Średni
6,Moriarty sp. z o.o.,Katowice,Quest Cage,2-5 osób,75 minut,Fabularny,śr. zaawansowani,434 opinie,Polska: 7. miejsce,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,9.8,9.9,9.9,Trudny
7,Klątwa Czarnobrodego,Bydgoszcz,Mr Lock Escape Room,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,117 opinii,Polska: 8. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,9.8,9.9,9.9,Trudny
8,Superheroom,Bydgoszcz,Mr Lock Escape Room,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,410 opinii,Polska: 9. miejsce,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,9.8,10,9.9,Trudny
9,Lochy Króla Artura,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,159 opinii,Polska: 10. miejsce,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.8,9.5,9.9,Trudny
